PROBA_SKLEARN,PROBA_PORTABLE,DIF_ABS
0.08345717802479966,0.08345717802479959,6.938893903907228e-17
0.044129097440578684,0.044129097440578705,2.0816681711721685e-17
0.03413555604242075,0.03413555604242077,2.0816681711721685e-17
0.2355813178333948,0.23558131783339467,1.3877787807814457e-16
0.06970786165685844,0.06970786165685851,6.938893903907228e-17
0.2149870594697908,0.2149870594697909,1.1102230246251565e-16
0.11494593657664069,0.11494593657664078,8.326672684688674e-17
0.08697788136206251,0.08697788136206258,6.938893903907228e-17
0.11202637839997101,0.112026378399971,1.3877787807814457e-17
0.10101586198701945,0.1010158619870195,5.551115123125783e-17
0.08805404953009012,0.08805404953009012,0.0
0.07268452749028624,0.07268452749028624,0.0
0.04166325144116471,0.04166325144116472,1.3877787807814457e-17
0.3673651923633529,0.36736519236335274,1.6653345369377348e-16
0.13788383955335126,0.13788383955335132,5.551115123125783e-17
0.09669684603016751,0.09669684603016744,6.938893903907228e-17
0.10942030159771417,0.10942030159771417,0.0
0.303670684147306,0.3036706841473061,5.551115123125783e-17
0.07475497528229638,0.07475497528229641,2.7755575615628914e-17
0.3225498879865123,0.3225498879865122,1.1102230246251565e-16
0.09687439772459859,0.09687439772459865,5.551115123125783e-17
0.4430939835539363,0.44309398355393637,5.551115123125783e-17
0.05226044654533338,0.052260446545333385,6.938893903907228e-18
0.11376867181733878,0.11376867181733877,1.3877787807814457e-17
0.12090215028868605,0.12090215028868602,2.7755575615628914e-17
0.047946427948449735,0.04794642794844972,1.3877787807814457e-17
0.05468652887823349,0.05468652887823345,4.163336342344337e-17
0.03633358934749694,0.03633358934749696,2.0816681711721685e-17
0.08606699142857249,0.08606699142857256,6.938893903907228e-17
0.12479466489152591,0.12479466489152587,4.163336342344337e-17
0.04560641820784832,0.04560641820784833,1.3877787807814457e-17
0.07382273406000792,0.07382273406000797,5.551115123125783e-17
0.1131801953332969,0.11318019533329689,1.3877787807814457e-17
0.21065652040871052,0.2106565204087106,8.326672684688674e-17
0.5302578347668311,0.5302578347668313,2.220446049250313e-16
0.08748676457143968,0.08748676457143972,4.163336342344337e-17
0.16777644812589287,0.16777644812589287,0.0
0.09168250538572323,0.09168250538572312,1.1102230246251565e-16
0.083025604725107,0.08302560472510696,4.163336342344337e-17
0.10031370398934922,0.1003137039893493,8.326672684688674e-17
0.13782026069590123,0.1378202606959013,8.326672684688674e-17
0.11921111772704579,0.1192111177270459,1.1102230246251565e-16
0.0933736593386547,0.09337365933865466,4.163336342344337e-17
0.17482151724634065,0.17482151724634074,8.326672684688674e-17
0.3370840215206595,0.33708402152065947,5.551115123125783e-17
0.0983852520259421,0.09838525202594206,4.163336342344337e-17
0.13402264506879005,0.13402264506879016,1.1102230246251565e-16
0.06964198447960261,0.06964198447960261,0.0
0.052606697671343926,0.05260669767134392,6.938893903907228e-18
0.044028185526744715,0.04402818552674471,6.938893903907228e-18
0.07966516066234396,0.07966516066234393,2.7755575615628914e-17
