COD_APO;COD_ENDOSSO;COD_ITEM;DATA_COMP;COD_END;COB_FUNDO;COD_MOD;ID_BEM;COBERTURA;CULTURA;MUNIC;UF;INICIO_VIG;FIM_VIG;TIPO_FRANQ;VAL_FRANQ;AREA_SEG;IMP_SEG;PREMIO;PREMIO_SUB;ORIGEM_SUB;CORRETAGEM;PERC_CARR;PERC_DESC
289707920;509929;1666356;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;20583.0;10.7;0.0;00;3.21;0.0;0.0
289707920;509929;1666370;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;50285.0;26.15;0.0;00;7.85;0.0;0.0
289707920;509929;1666512;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;33752.0;17.55;0.0;00;5.27;0.0;0.0
289707920;509929;1666550;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;139402.0;72.49;0.0;00;21.75;0.0;0.0
289707920;509929;1666553;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;50298.0;26.16;0.0;00;7.85;0.0;0.0
289707920;509929;1666579;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;13458.0;7.0;0.0;00;2.1;0.0;0.0
289707920;509928;1608388;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;15738.0;8.19;0.0;00;2.46;0.0;0.0
289707920;509928;1608504;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;16148.0;8.4;0.0;00;2.52;0.0;0.0
289707920;509928;1634359;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;45192.0;23.5;0.0;00;7.05;0.0;0.0
289707920;509928;1634362;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201101.0;20201130.0;9.0;0.0;0.0;204547.0;106.37;0.0;00;31.91;0.0;0.0
289707920;509923;1576222;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201001.0;20201031.0;9.0;0.0;0.0;173143.0;93.04;0.0;00;27.91;0.0;0.0
289707920;509923;1576227;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201001.0;20201031.0;9.0;0.0;0.0;128642.0;69.13;0.0;00;20.74;0.0;0.0
289707920;509936;1709785;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201201.0;20201231.0;9.0;0.0;0.0;23532.0;12.64;0.0;00;3.79;0.0;0.0
289707920;509935;1782957;2021.0;1.0;N;80.0;99.0;999.0;99999999.0;431490.0;RS;20201201.0;20201231.0;9.0;0.0;0.0;500000.0;268.68;0.0;00;80.6;0.0;0.0
