COD_APO;COD_ENDOSSO;COD_ITEM;DATA_COMP;COB_FUNDO;COD_MOD;ID_BEM;COBERTURA;CULTURA;MUNIC;UF;INDENIZ;DESP_SIN;EV_GER;VAL_FRANQ;D_AVISO;D_LIQ;D_OCORR_IN;D_OCORR_FI
292896926;4630221;7464917;2021;S;10;99;999;99999999.0;49786.0;SC;612.32;0.0;8;10.0;20210104;20210318;20201020;20201020
292897144;4630452;7465220;2021;S;10;99;999;99999999.0;19871.0;PR;11583.5;0.0;99;10.0;20210205;20210412;20210205;20210205
292897174;4630485;7465280;2021;S;10;99;20;99999999.0;10832.0;RS;23709.0;0.0;99;10.0;20200924;20210406;20200921;20200921
292897294;4630615;7465477;2021;S;10;99;999;99999999.0;36438.0;PR;2869.59;0.0;99;10.0;20201020;20201209;20201016;20201016
292897328;4630651;7465536;2021;S;10;99;10;99999999.0;30623.0;MG;3750.0;0.0;99;10.0;20201125;20210121;20201125;20201125
292897422;4630758;7465658;2021;S;10;99;10;99999999.0;30623.0;MG;388.87;0.0;99;10.0;20201224;20210826;20201217;20201217
292897457;4630797;7465730;2021;S;10;99;10;99999999.0;49645.0;SC;1808.0;0.0;99;10.0;20201214;20210514;20201212;20201212
292897518;4630866;7465839;2021;S;10;99;10;99999999.0;42185.0;PR;44200.0;0.0;99;10.0;20201214;20210602;20201209;20201209
292897652;4631026;7466071;2021;S;10;99;20;99999999.0;32449.0;PR;8881.65;0.0;99;10.0;20210108;20210315;20201115;20201115
292897665;4631041;7466088;2021;S;10;99;10;99999999.0;10595.0;MG;1400.0;0.0;99;10.0;20210405;20210601;20210331;20210331
292897850;4631241;7466393;2021;S;10;99;999;99999999.0;35848.0;RS;5460.0;0.0;99;10.0;20201203;20210319;20201202;20201202
292898025;4631449;7466683;2021;S;10;99;999;99999999.0;2895.0;PR;6977.13;0.0;8;10.0;20210224;20210511;20210207;20210207
